age,income,education,married,children,purchase_amount,labels,gender_Female,gender_Male,occupation_Artist,occupation_Businessman,occupation_Doctor,occupation_Engineer,occupation_HR,occupation_Housewife,occupation_Lawyer,occupation_Retired,occupation_Salesman,occupation_Scientist,occupation_Unemployed,most_bought_ball,most_bought_bat,most_bought_bed,most_bought_biscuits,most_bought_carpet,most_bought_chair,most_bought_chips,most_bought_cream,most_bought_curtains,most_bought_dictionary,most_bought_encyclopedia,most_bought_gloves,most_bought_laptop,most_bought_lipstick,most_bought_maggi,most_bought_mobile,most_bought_monitor,most_bought_novel,most_bought_pants,most_bought_perfume,most_bought_shirt,most_bought_shoes,most_bought_sofa,most_bought_table
0.5869565217391305,0.6839755651886854,0.6666666666666666,0,1.0,0.44135056130068817,electronics clothing sports,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.13043478260869568,0.5442224347171774,0.0,0,0.3333333333333333,0.6299356983472045,furniture beauty,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5869565217391305,0.14173967767534085,0.3333333333333333,1,1.0,0.5375552472071272,clothing electronics food sports,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02173913043478265,0.46987277411530487,1.0,0,0.0,0.5119211410429921,food,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.23913043478260876,0.397629707783203,0.6666666666666666,0,0.0,0.43550961163456425,home,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.043478260869565244,0.5101247895574657,0.6666666666666666,1,1.0,0.4925407099404381,sports electronics books,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.19565217391304346,0.13326171676847792,0.3333333333333333,1,1.0,0.3130018849230821,beauty furniture clothing,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.043478260869565244,0.2331249657886934,1.0,0,1.0,0.5985186500722368,books beauty,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7173913043478262,0.31839375762881744,1.0,1,0.0,0.5797619899066424,electronics food home sports,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02173913043478265,0.45429230747701893,1.0,1,0.0,0.5867684035641398,furniture food,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8478260869565217,0.6776487879438737,1.0,1,0.0,0.38041819348131767,clothing home,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.19565217391304346,0.5060737490196272,1.0,1,0.6666666666666666,0.7917061897558241,food books,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.9782608695652173,0.5472306287347461,0.0,0,0.0,0.6502316387110895,home,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5652173913043479,0.22197550220167567,0.6666666666666666,1,0.6666666666666666,0.4510026652503184,sports furniture food home,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7173913043478262,0.4675257155187303,0.3333333333333333,0,0.0,0.2908348883917584,beauty clothing food,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5217391304347826,0.3235179384724001,0.0,0,0.6666666666666666,0.5368868945522071,books clothing sports,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.4565217391304348,0.6108342471275487,0.0,0,1.0,0.32714215328988183,electronics furniture food books,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.15217391304347827,0.3259682383200239,0.0,0,0.3333333333333333,0.6942088753273098,furniture electronics home sports,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6304347826086956,0.4906264749127078,0.3333333333333333,1,0.6666666666666666,0.5559698244449729,clothing food beauty,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6304347826086956,0.4984619395849174,0.6666666666666666,1,0.3333333333333333,0.6113537406477224,food furniture,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3913043478260869,0.2207219952303337,0.0,1,0.3333333333333333,0.38326907975399627,home food,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
