CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
-0.41900854613586025,0.3057203299264586,-0.53005009917614,-0.1225518302372034,-0.04512299685293053,0.36609774065247114,-0.12302140831581874,0.1500478654874902,-0.9744265029130591,-0.6614685760825764,-1.4731376395639992,0.4381197575403295,-1.1046821940985874,0.16544114575635413
-0.4165334633640794,-0.4852209484285226,-0.26574610143099825,-0.1225518302372034,-0.04907366670149584,0.16273180224657224,0.37845658909251706,0.568994245483288,-0.8591403414752363,-0.9836941637632969,-0.316187839967655,0.4381197575403295,-0.5078117356026698,-0.09728442970504501
-0.4165358217087881,-0.4852209484285226,-0.26574610143099825,-0.1225518302372034,-0.04907366670149584,1.171638146026486,-0.2730987652044448,0.568994245483288,-0.8591403414752363,-0.9836941637632969,-0.316187839967655,0.39319919873749,-1.2409867459185684,1.3367593363550931
-0.4159368021527783,-0.4852209484285226,-0.5372684856691796,-0.1225518302372034,-0.049703483633875827,0.924693792247895,-0.8331435360327323,1.0920682173603804,-0.7438541800374137,-1.1030369740154156,0.10031408788702827,0.41306578494022017,-1.397378284322547,1.1944496496468346
-0.4116115979570221,-0.4852209484285226,-0.5372684856691796,-0.1225518302372034,-0.049703483633875827,1.1214569404458103,-0.5256679755779861,1.0920682173603804,-0.7438541800374137,-1.1030369740154156,0.10031408788702827,0.4381197575403295,-2.548689714387468e-16,1.5009628210184676
-0.41623395358607446,-0.4852209484285226,-0.5372684856691796,-0.1225518302372034,-0.049703483633875827,0.17461682462094225,-0.3609489253343722,1.0920682173603804,-0.7438541800374137,-1.1030369740154156,0.10031408788702827,0.40743691884944677,-1.071682144710592,0.6799453977015943
-0.4093428703472525,0.06404382820688101,-0.22132526147383158,1.5792662743846937e-17,-0.04592458203959596,-0.3773764367664981,-0.0717754815733614,0.8524314611821892,-0.5132818571617682,-0.5719614683934874,-1.5194156315478535,0.423771667505025,-0.035767550878735,0.04502525700321263
-0.4027088466816789,0.06404382820688101,-0.22132526147383158,-0.1225518302372034,-0.04592458203959596,-0.16608715011101846,1.0080494033569964,1.0387147677588178,-0.5132818571617682,-0.5719614683934874,-1.5194156315478535,0.4381197575403295,0.9284078051531318,0.5047950140606617
-0.3948449462505181,0.06404382820688101,-0.22132526147383158,-0.1225518302372034,-0.04592458203959596,-0.8805090506148578,1.1508059135681288,1.1015734424908288,-0.5132818571617682,-0.5719614683934874,-1.5194156315478535,0.32476984626141997,2.4751057721209184,-0.6555762775605187
-0.39970313635044047,0.06404382820688101,-0.22132526147383158,1.5792662743846937e-17,-0.04592458203959596,-0.3879409010992721,0.6346862228048054,1.3451746895525742,-0.5132818571617682,-0.5719614683934874,-1.5194156315478535,0.3256528056482078,0.6342769301731728,-0.39285070209911954
