"Name","mse_val_final","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","hidden_layers","lr","max_epochs","method","metric.goal","metric.name","optimizer","parameters.activations","parameters.batch_sizes","parameters.hidden_layerss","parameters.lrs","parameters.max_epochss","parameters.optimizers","accuracy_val_final","epoch","f1_score_val_final","mae_val_final","precision_val_final","r2_val_final","recall_val_final","rmse_val_final","train_accuracy","train_f1","train_loss","train_mae","train_mse","train_precision","train_r2","train_recall","validation_accuracy","validation_f1","validation_loss","validation_mae","validation_mse","validation_precision","validation_r2","validation_recall","hamming_accuracy","hamming_loss","train_hamming_accuracy","train_hamming_loss","validation_hamming_accuracy","validation_hamming_loss"
"sgd_tanh_2_0.05_32_2500","0.0035317140060163407","","finished","-","","","2024-10-10T15:29:33.000Z","33","jdqz1le1","tanh","32","[8,8]","0.05","2500","","","","sgd","","","","","","","","2319","","0.04611258483888376","","0.9376444286579724","","0.059428225667744285","","","0.0034565560944735214","0.043000731839800466","0.0034565560944735214","","0.9034578395815333","","","","0.003531637183817035","0.04611428104290764","0.003531637183817035","","0.93764578502265","","","","","","",""
"sgd_tanh_2_0.05_32_7500","0.003547950095196264","","finished","-","","","2024-10-10T13:21:44.000Z","33","jdqz1le1","tanh","32","[8,8]","0.05","7500","","","","sgd","","","","","","","","2419","","0.04600639694266311","","0.9373577659736638","","0.059564671536039414","","","0.0034665818864950968","0.04321618883581627","0.0034665818864950968","","0.9031778176188588","","","","0.0035477004108264514","0.04600651417576439","0.0035477004108264514","","0.937362174374658","","","","","","",""
"sgd_relu_4_0.01_32_7500","0.003973154806648604","","finished","-","","","2024-10-10T12:25:19.000Z","111","jdqz1le1","relu","32","[8,8,8,8]","0.01","7500","","","","sgd","","","","","","","","6064","","0.04809553648630265","","0.9298503962730692","","0.06303296603086836","","","0.003693973694306953","0.043964808969326585","0.003693973694306953","","0.8968267283300962","","","","0.003967139948676242","0.048194138256568105","0.003967139948676242","","0.9299565939733272","","","","","","",""
"sgd_relu_4_0.01_32_7500","0.003973154806648604","","finished","-","","","2024-10-10T15:11:00.000Z","116","jdqz1le1","relu","32","[8,8,8,8]","0.01","7500","","","","sgd","","","","","","","","6064","","0.04809553648630265","","0.9298503962730692","","0.06303296603086836","","","0.003693973694306953","0.043964808969326585","0.003693973694306953","","0.8968267283300962","","","","0.003967139948676242","0.048194138256568105","0.003967139948676242","","0.9299565939733272","","","","","","",""
"sgd_sigmoid_4_0.05_32_7500","0.004165614692694816","","finished","-","","","2024-10-10T13:49:52.000Z","160","jdqz1le1","sigmoid","32","[8,8,8,8]","0.05","7500","","","","sgd","","","","","","","","7500","","0.05139978272171178","","0.926452344750667","","0.06454157336705402","","","0.003382536775701095","0.0432332086763316","0.003382536775701095","","0.9055252109048044","","","","0.004165614692694816","0.05139978272171178","0.004165614692694816","","0.926452344750667","","","","","","",""
"sgd_sigmoid_3_0.05_32_7500","0.004173594773410298","","finished","-","","","2024-10-10T15:25:23.000Z","144","jdqz1le1","sigmoid","32","[8,8,8]","0.05","7500","","","","sgd","","","","","","","","7500","","0.05034501740376876","","0.926311449284182","","0.06460336503163204","","","0.003770405512404237","0.0452065464706941","0.003770405512404237","","0.8946919755177173","","","","0.004173594773410298","0.05034501740376876","0.004173594773410298","","0.926311449284182","","","","","","",""
"sgd_sigmoid_3_0.05_16_7500","0.004173594773410298","","finished","-","","","2024-10-10T13:13:35.000Z","139","jdqz1le1","sigmoid","16","[8,8,8]","0.05","7500","","","","sgd","","","","","","","","7500","","0.05034501740376876","","0.926311449284182","","0.06460336503163204","","","0.003770405512404237","0.0452065464706941","0.003770405512404237","","0.8946919755177173","","","","0.004173594773410298","0.05034501740376876","0.004173594773410298","","0.926311449284182","","","","","","",""
"sgd_tanh_2_0.02_32_7500","0.004177754927776486","","finished","-","","","2024-10-10T14:39:39.000Z","72","jdqz1le1","tanh","32","[8,8]","0.02","7500","","","","sgd","","","","","","","","5553","","0.05208685617485261","","0.9262379980358836","","0.06463555467214996","","","0.003586153333556332","0.043984484387009","0.003586153333556332","","0.8998381681214557","","","","0.004177707928774629","0.05208605677328964","0.004177707928774629","","0.9262388278453212","","","","","","",""
"sgd_tanh_4_0.1_32_7500","0.004207651419615342","","finished","-","","","2024-10-10T14:21:48.000Z","27","jdqz1le1","tanh","32","[8,8,8,8]","0.1","7500","","","","sgd","","","","","","","","1267","","0.051547112400549565","","0.9257101487178022","","0.06486641210684727","","","0.003512472656267478","0.04570148972327482","0.003512472656267478","","0.9018960811343344","","","","0.0042063635226148805","0.05153961090209897","0.0042063635226148805","","0.9257328876918972","","","","","","",""
"sgd_tanh_4_0.1_32_7500","0.004207651419615342","","finished","-","","","2024-10-10T13:56:26.000Z","29","jdqz1le1","tanh","32","[8,8,8,8]","0.1","7500","","","","sgd","","","","","","","","1267","","0.051547112400549565","","0.9257101487178022","","0.06486641210684727","","","0.003512472656267478","0.04570148972327482","0.003512472656267478","","0.9018960811343344","","","","0.0042063635226148805","0.05153961090209897","0.0042063635226148805","","0.9257328876918972","","","","","","",""
